Butyrivibrio fibrisolvens	2569
Bacteroides uniformis	2183
Alistipes finegoldii	1146
Bacteroides stercoris	826
Eubacterium rectale	732
Faecalibacterium prausnitzii	704
Bacteroides ovatus	649
Bacteroides vulgatus	616
Bacteroides acidifaciens	596
Bacteroides thetaiotaomicron	459
Bifidobacterium adolescentis	381
butyrate-producing bacterium ART55/1	295
uncultured bacterium	244
Lachnospiraceae bacterium A4	226
Blautia sp. Ser8	157
Bacteroides salyersiae	114
Ruminococcus bromii	77
Clostridium clostridioforme	75
Clostridium butyricum	67
butyrate-producing bacterium SSC/2	60
Eubacterium cellulosolvens	51
Oribacterium sp. oral taxon 078	46
butyrate-producing bacterium SM4/1	45
Pseudobutyrivibrio xylanivorans	44
Parabacteroides distasonis	42
Barnesiella intestinihominis	42
Bifidobacterium breve	36
Megasphaera elsdenii	31
Bacteroides sp.	29
Clostridium polysaccharolyticum	23
Parabacteroides johnsonii	23
Dialister pneumosintes	22
Anaerobranca gottschalkii	21
Bacteroides caccae	21
Ruminococcus sp. 18P13	20
butyrate-producing bacterium SS3/4	19
Ruminococcus flavefaciens	18
Eubacterium ruminantium	16
Clostridium scindens	16
Bacteroides cellulosolvens	14
Ruminococcus albus	14
Selenomonas ruminantium	14
Clostridium glycolicum	14
Ruminococcus gnavus	12
Butyricimonas virosa	12
Eubacterium limosum	10
Ruminococcus callidus	10
Acetobacterium carbinolicum	8
Clostridium sordellii	8
Veillonella ratti	6
Acidaminococcus fermentans	6
Bacteroides fragilis	6
Bacteroides clarus	5
Clostridium stercorarium	5
Butyricimonas synergistica	5
Akkermansia muciniphila	5
Clostridium lituseburense	4
Hespellia stercorisuis	3
butyrate-producing bacterium A2-232	3
Veillonella dispar	3
Clostridium hathewayi	3
Collinsella aerofaciens	3
Bacteroides coprosuis	3
Clostridium tertium	2
Clostridium difficile	2
Dialister invisus	2
Eubacterium oxidoreducens	2
Bifidobacterium catenulatum	2
Megamonas hypermegale	2
Clostridium hylemonae	1
Clostridium chauvoei	1
Alkaliphilus transvaalensis	1
uncultured prokaryote	1
Clostridium spiroforme	1
Enterococcus durans	1
Bifidobacterium bifidum	1
Clostridium baratii	1
Rikenella microfusus	1
Ureibacillus thermosphaericus	1
Bacteroides eggerthii	1
